patent,frequency
4683202,2415
4683195,2155
4723129,2007
4733665,1916
4463359,1726
5523520,1716
4740796,1707
4558333,1600
4345262,1576
4313124,1540
4459600,1501
5103459,1451
5892900,1433
5572643,1383
4799156,1370
4901307,1293
5794207,1246
5710887,1177
4655771,1160
5948061,1141
5742905,1137
5643826,1125
4886062,1123
5143854,1108
4800882,1102
4665906,1101
5220501,1071
5740549,1056
4776337,1051
4340563,1049
4580568,1045
5960411,1035
4816567,1013
5661506,1006
5848396,1006
5172338,995
5862325,988
5715314,976
6029195,975
5852434,972
4864618,968
4992940,962
5692073,953
4739762,942
5652412,938
6076734,928
5477012,918
4405829,915
5629980,910
5794210,908
6011725,908
5708780,906
5051736,903
4706121,895
5948040,887
4965188,884
5774660,875
5064435,873
5247190,871
5367109,870
5848932,855
5850009,854
6226618,853
5796952,849
5223844,846
5304719,844
5608786,841
4100324,839
5724424,837
4425908,833
5754939,830
4994071,819
4179337,818
3953566,817
6177931,816
5136501,815
5272236,811
5724521,811
4503569,808
5530852,808
5056109,804
4658085,803
5923962,802
"""WO 99/50787""",783
5347632,778
5699528,775
4827508,774
6029141,772
4674044,771
5677955,771
5715403,769
5765152,769
5163131,768
5933811,762
5101501,761
4558413,756
4946778,750
4856516,749
4663220,744
5247347,744
5835087,741
5823874,734
2306669,733
4903201,729
5758257,725
4769292,723
4349921,721
4512338,721
5109390,720
5223409,720
6034882,716
4517763,710
5015247,709
5768192,708
4994069,706
5101353,705
5835896,705
5334193,702
5403311,701
5557518,701
3849241,699
5370675,699
5403312,699
5061049,696
5102417,696
5374564,696
4658084,693
4695053,693
4731499,692
4993068,691
5329578,691
"""WO 99/18487""",690
4440871,689
4723549,688
4908112,688
5247575,686
5788573,686
4916441,685
5071407,682
5590197,681
6850252,681
5077665,680
5276263,680
5445934,680
3916899,679
4677246,677
3867728,675
4951601,674
4870302,670
5982891,668
4200770,667
5043736,667
4608577,666
5278272,665
4830003,663
3845770,661
4834757,660
4650466,654
5638443,654
6222762,654
4800159,653
6009410,653
5655961,652
6964374,650
5019090,649
3874388,647
5664115,646
5026377,644
5634012,643
4949187,642
5493692,642
5348554,641
5464650,641
5393057,640
5640193,639
3875595,637
4658093,637
5884032,637
4878906,636
5133732,636
4856787,635
4977594,635
3868956,632
5059193,631
5479447,631
5943422,630
5342047,629
6159097,627
4265990,625
5757917,624
5918213,624
5873904,622
5104404,621
5824049,620
6096070,619
4977455,617
5353121,616
5675507,614
5826241,614
4732152,613
5744305,613
4940464,612
4545374,609
5297031,609
5613004,609
5331966,608
5449373,608
5452733,607
5277201,606
5192327,605
5496312,605
5008853,603
5267261,602
5629981,601
5297032,599
5770533,599
5111638,598
5100423,597
5123917,597
5319705,597
5758328,597
6089976,597
4376110,595
4954126,595
5570315,595
5732074,595
5980384,592
4413725,591
5819292,591
6190255,589
5313454,588
6159098,587
4539507,586
4873978,586
4947028,584
4528643,582
4878915,582
5095344,582
5282824,582
5717923,580
5850218,580
6175752,579
5674296,578
4950227,577
5335276,577
5910987,577
4309777,576
4762129,576
4772287,576
5258031,576
5500012,575
5933498,575
6112181,574
5305195,573
5636292,573
5862260,573
4748982,572
5429361,572
4733521,571
5007908,571
5155847,571
5465206,571
4553545,570
6046935,570
5794219,569
5862223,569
6766817,569
3692618,568
5453601,567
5816918,566
6460036,566
4441791,565
5640343,565
5774668,565
5061275,561
5104399,561
5383917,561
5410326,561
5528222,561
4582324,560
6091956,560
4448419,559
5790790,559
3702886,558
5195984,558
5537314,558
5629790,558
5979757,558
4773182,557
4333267,556
5956716,556
6674562,556
4789928,555
5415661,555
5572528,554
5721827,554
6330976,554
4187390,553
4759769,553
4041203,551
4704116,551
5086385,551
5387235,551
5754938,550
6122403,550
4535773,549
5311360,549
5410598,549
5716981,549
6006264,549
6400996,549
4624459,547
4768507,547
5421955,547
5950173,547
4743256,546
5113869,546
5646997,546
5050213,545
5978773,545
5226992,544
5514154,544
5778395,544
6159095,544
4619246,543
4787899,543
4321672,542
5357276,542
5514180,542
4652998,541
4731726,541
4956619,541
5167024,541
4961740,540
5609629,540
5890138,540
5600364,539
5687322,539
5471515,538
6522580,538
5027400,537
5813009,537
5606609,536
5544347,535
6040937,535
4953552,534
5721788,534
4216620,533
5915001,532
6154738,532
6185683,532
5592551,531
5815665,531
5924082,531
6015346,531
5689652,530
5968830,530
5742792,529
4807031,528
5043940,528
5732400,528
5790548,528
5837313,528
5838906,528
6153252,528
4058430,527
5882261,527
5883810,527
5484437,526
5790677,526
4966597,525
5166758,525
5694546,525
6089978,525
5588432,524
5589892,524
5897622,524
5241671,523
5306309,523
5610910,523
5473599,522
3962503,520
5281218,520
5304487,520
5371852,520
5623601,520
5845265,520
"""WO 99/49504""",519
4798603,519
5951397,519
5987611,519
4837798,518
5383892,518
5867495,517
5382400,516
5845266,516
6269361,516
5047055,515
5383876,515
5053008,514
5458596,514
5673322,514
5035706,513
5064802,513
5216278,513
5319735,513
5512131,513
5536267,513
5991735,512
3860003,511
4140126,511
6385596,511
5040715,510
5128752,510
5383113,510
5366012,509
5446919,509
5549679,509
5613012,509
5640002,508
6089977,508
4862245,507
5700286,507
5768382,507
5850442,507
5947820,507
5132992,506
5590038,506
4757267,505
5083857,505
5333266,505
5353331,505
5722891,505
6203613,505
4921484,504
5833603,504
3802817,503
5000113,503
5227874,503
5315541,503
6004207,503
